Vehicle,Date,CAN,GPS,Estabilidad,Rotativo,OrphanFiles
doback023,20250930,NO,YES,YES,YES,NONE
doback023,20251004,NO,YES,YES,YES,NONE
doback024,20250930,NO,YES,YES,YES,NONE
doback024,20251001,NO,YES,YES,YES,NONE
doback024,20251002,NO,YES,YES,YES,NONE
doback024,20251003,NO,YES,YES,YES,NONE
doback024,20251004,NO,YES,YES,YES,NONE
doback024,20251005,NO,YES,YES,YES,NONE
doback024,20251006,NO,YES,YES,YES,NONE
doback024,20251007,NO,YES,YES,YES,NONE
doback024,20251008,NO,YES,YES,YES,NONE
doback024,20251009,NO,YES,NO,NO,GPS
doback026,20250925,YES,NO,YES,NO,NONE
doback026,20250926,YES,YES,YES,NO,NONE
doback026,unknown,YES,YES,YES,YES,NONE
doback027,20250929,YES,YES,YES,YES,NONE
doback027,20250930,YES,YES,YES,YES,NONE
doback027,20251001,YES,YES,YES,YES,NONE
doback027,20251002,YES,YES,YES,YES,NONE
doback027,20251003,YES,YES,YES,YES,NONE
doback027,20251004,YES,YES,YES,YES,NONE
doback027,20251005,YES,YES,YES,YES,NONE
doback027,20251006,YES,YES,YES,YES,NONE
doback027,20251007,YES,YES,YES,YES,NONE
doback027,20251008,YES,YES,YES,YES,NONE
doback028,20250930,NO,YES,YES,YES,NONE
doback028,20251001,NO,YES,YES,YES,NONE
doback028,20251002,NO,YES,YES,YES,NONE
doback028,20251003,NO,YES,YES,YES,NONE
doback028,20251004,NO,YES,YES,YES,NONE
doback028,20251005,NO,YES,YES,YES,NONE
doback028,20251006,NO,YES,YES,YES,NONE
doback028,20251007,NO,YES,YES,YES,NONE
doback028,20251008,NO,YES,YES,YES,NONE
doback028,unknown,NO,YES,NO,NO,GPS